review_rank,case_id,route_label,priority_score,predicted_exploitation_type,P(Sex),P(Labor),P(Both),confidence,target_probability,key_indicators,selected_for_review,reviewer_action,reviewer_notes
1,CTDC-SYN-0019,Labor-focused review or labor-plus-multidisciplinary review,81.85,Labor,0.14553522,0.7608534,0.09361142,0.7608534,0.7608534,debt_bondage; excessive_work_hours; denial_basic_needs; close_recruiter_relationship,True,,
2,CTDC-SYN-0297,Labor-focused review or labor-plus-multidisciplinary review,79.54,Labor,0.086324416,0.71893245,0.19474313,0.71893245,0.71893245,debt_bondage; excessive_work_hours; threats; close_recruiter_relationship,True,,
3,CTDC-SYN-0181,Labor-focused review or labor-plus-multidisciplinary review,78.56,Labor,0.24042836,0.6102285,0.14934321,0.6102285,0.6102285,excessive_work_hours; denial_basic_needs; close_recruiter_relationship,True,,
4,CTDC-SYN-0334,Labor-focused review or labor-plus-multidisciplinary review,74.85,Both,0.045439404,0.4118974,0.54266316,0.54266316,0.54266316,debt_bondage; excessive_work_hours; withheld_documents; denial_basic_needs; close_recruiter_relationship,True,,
5,CTDC-SYN-0041,Labor-focused review or labor-plus-multidisciplinary review,70.21,Sex,0.5483414,0.027101496,0.42455712,0.5483414,0.42455712,debt_bondage; threats; close_recruiter_relationship,True,,
6,CTDC-SYN-0139,Labor-focused review or labor-plus-multidisciplinary review,68.55,Labor,0.24282427,0.5191037,0.23807202,0.5191037,0.5191037,debt_bondage; excessive_work_hours; close_recruiter_relationship,True,,
7,CTDC-SYN-0066,Labor-focused review or labor-plus-multidisciplinary review,68.51,Sex,0.587042,0.04540615,0.3675519,0.587042,0.3675519,debt_bondage; excessive_work_hours; close_recruiter_relationship,True,,
8,CTDC-SYN-0191,Labor-focused review or labor-plus-multidisciplinary review,66.96,Sex,0.51546454,0.43895367,0.04558174,0.51546454,0.43895367,excessive_work_hours; denial_basic_needs; threats; close_recruiter_relationship,True,,
9,CTDC-SYN-0395,Labor-focused review or labor-plus-multidisciplinary review,65.76,Sex,0.7499314,0.012310473,0.23775817,0.7499314,0.23775817,withheld_documents; close_recruiter_relationship,True,,
10,CTDC-SYN-0086,Labor-focused review or labor-plus-multidisciplinary review,65.53,Sex,0.5390938,0.024740038,0.43616614,0.5390938,0.43616614,withheld_documents; close_recruiter_relationship,True,,
