review_rank,case_id,route_label,priority_score,predicted_exploitation_type,P(Sex),P(Labor),P(Both),confidence,target_probability,key_indicators,selected_for_review,reviewer_action,reviewer_notes
1,CTDC-SYN-0116,Multidisciplinary review,74.99,Both,0.08519124,0.14565684,0.7691519,0.7691519,0.7691519,abuse_indicators; denial_basic_needs; minor_young_indicator; close_recruiter_relationship,True,,
2,CTDC-SYN-0351,Multidisciplinary review,72.84,Both,0.025930807,0.1098058,0.8642634,0.8642634,0.8642634,abuse_indicators; close_recruiter_relationship,True,,
3,CTDC-SYN-0041,Multidisciplinary review,71.06,Both,0.116200656,0.14958562,0.7342137,0.7342137,0.7342137,threats; abuse_indicators; denial_basic_needs; close_recruiter_relationship,True,,
4,CTDC-SYN-0305,Multidisciplinary review,67.76,Both,0.027272055,0.21234511,0.76038283,0.76038283,0.76038283,abuse_indicators; denial_basic_needs; false_promises; close_recruiter_relationship,True,,
5,CTDC-SYN-0280,Multidisciplinary review,62.67,Both,0.014179629,0.4319631,0.55385727,0.55385727,0.55385727,abuse_indicators; drugs_alcohol_control; false_promises; close_recruiter_relationship,True,,
6,CTDC-SYN-0361,Multidisciplinary review,62.16,Both,0.0131001705,0.28703538,0.6998645,0.6998645,0.6998645,threats; abuse_indicators,True,,
7,CTDC-SYN-0388,Multidisciplinary review,60.49,Both,0.021835826,0.3039728,0.67419136,0.67419136,0.67419136,threats; abuse_indicators; drugs_alcohol_control,True,,
8,CTDC-SYN-0085,Multidisciplinary review,58.7,Both,0.3338009,0.09652439,0.5696747,0.5696747,0.5696747,threats; abuse_indicators; close_recruiter_relationship,True,,
9,CTDC-SYN-0233,Multidisciplinary review,58.21,Both,0.14534228,0.3181286,0.5365291,0.5365291,0.5365291,denial_basic_needs; minor_young_indicator; close_recruiter_relationship,True,,
10,CTDC-SYN-0172,Multidisciplinary review,57.08,Both,0.09110183,0.15895975,0.7499384,0.7499384,0.7499384,denial_basic_needs; minor_young_indicator,True,,
11,CTDC-SYN-0312,Multidisciplinary review,53.27,Sex,0.99288803,0.0028859037,0.0042260583,0.99288803,0.0042260583,threats; denial_basic_needs; drugs_alcohol_control; false_promises; minor_young_indicator; close_recruiter_relationship,True,,
12,CTDC-SYN-0230,Multidisciplinary review,52.16,Sex,0.9538391,0.040047616,0.006113285,0.9538391,0.006113285,threats; abuse_indicators; denial_basic_needs; drugs_alcohol_control; false_promises; close_recruiter_relationship,True,,
13,CTDC-SYN-0066,Multidisciplinary review,52.04,Labor,0.011464397,0.8448744,0.14366126,0.8448744,0.14366126,denial_basic_needs; close_recruiter_relationship,True,,
14,CTDC-SYN-0197,Multidisciplinary review,51.96,Labor,0.0046512615,0.90781045,0.0875383,0.90781045,0.0875383,threats; denial_basic_needs; drugs_alcohol_control; false_promises,True,,
15,CTDC-SYN-0225,Multidisciplinary review,51.61,Sex,0.9957567,0.0023429445,0.0019003442,0.9957567,0.0019003442,threats; drugs_alcohol_control; minor_young_indicator; close_recruiter_relationship,True,,
16,CTDC-SYN-0266,Multidisciplinary review,51.36,Sex,0.98721373,0.010447221,0.0023390288,0.98721373,0.0023390288,threats; abuse_indicators; drugs_alcohol_control; close_recruiter_relationship,True,,
